cram_url	run_id	id	population
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239895/NA19649.final.cram	ERR3239895	NA19649	MXL
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239896/NA19651.final.cram	ERR3239896	NA19651	MXL
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239897/NA19652.final.cram	ERR3239897	NA19652	MXL
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240228/HG00272.final.cram	ERR3240228	HG00272	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240229/HG00273.final.cram	ERR3240229	HG00273	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240230/HG00306.final.cram	ERR3240230	HG00306	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240231/HG00308.final.cram	ERR3240231	HG00308	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240232/HG00309.final.cram	ERR3240232	HG00309	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240233/HG00311.final.cram	ERR3240233	HG00311	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240234/HG00313.final.cram	ERR3240234	HG00313	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240235/HG00315.final.cram	ERR3240235	HG00315	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240236/HG00318.final.cram	ERR3240236	HG00318	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240237/HG00319.final.cram	ERR3240237	HG00319	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240238/HG00320.final.cram	ERR3240238	HG00320	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240239/HG00321.final.cram	ERR3240239	HG00321	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240240/HG00323.final.cram	ERR3240240	HG00323	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240241/HG00327.final.cram	ERR3240241	HG00327	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240242/HG00328.final.cram	ERR3240242	HG00328	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240243/HG00335.final.cram	ERR3240243	HG00335	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240244/HG00336.final.cram	ERR3240244	HG00336	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240245/HG00337.final.cram	ERR3240245	HG00337	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240246/HG00338.final.cram	ERR3240246	HG00338	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240247/HG00339.final.cram	ERR3240247	HG00339	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240248/HG00342.final.cram	ERR3240248	HG00342	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240249/HG00343.final.cram	ERR3240249	HG00343	FIN
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239546/NA18757.final.cram	ERR3239546	NA18757	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239547/NA18867.final.cram	ERR3239547	NA18867	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239548/NA18868.final.cram	ERR3239548	NA18868	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239549/NA18873.final.cram	ERR3239549	NA18873	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239550/NA18908.final.cram	ERR3239550	NA18908	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239551/NA18910.final.cram	ERR3239551	NA18910	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239552/NA18917.final.cram	ERR3239552	NA18917	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239553/NA18923.final.cram	ERR3239553	NA18923	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239554/NA18924.final.cram	ERR3239554	NA18924	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239555/NA18933.final.cram	ERR3239555	NA18933	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239556/NA18934.final.cram	ERR3239556	NA18934	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239557/NA18939.final.cram	ERR3239557	NA18939	JPT
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239558/NA18941.final.cram	ERR3239558	NA18941	JPT
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239559/NA18946.final.cram	ERR3239559	NA18946	JPT
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239560/NA18954.final.cram	ERR3239560	NA18954	JPT
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239561/NA18957.final.cram	ERR3239561	NA18957	JPT
